id,track_id,title,album_name,album_id,filename,filepath,description,seo_keywords,prompt,tags,cover_prompt,seed,created_at
2,2,DAVY JONES,ABYSSAL RAIDER,1,DAVY JONES.wav,music/ABYSSAL RAIDER/DAVY JONES.wav,"A music box intro drops into a heavy, organ-driven dubstep beat.",davy jones theme remix|organ dubstep|pirate boss music|sad pirate beat|heavy drop shanty|cinematic pirate|deep ocean bass|villain theme|epic organ trap|emotional heavy|stormy beat|viral pirate sound|gothic sea|intense buildup|monster bass,"140 BPM, D minor, orchestral dubstep instrumental, vibe: cursed captain; instruments: pipe organ, music box, heavy metallic wobble bass, crashing wave foley; groove: half-time heavy stomp; arrangement: [Intro]->[Organ Build]->[HEAVY DROP]->[Music Box]->[Drop]; production notes: massive reverb on the organ, very dirty distorted bass, cinematic emotional weight.",Dubstep|Pirate|Epic,"Single-subject cinematic cutout: Cursed Captain (Tentacle Face), pose: playing a pipe organ made of coral. Body details: tentacles, barnacles, wet coat. Environment: The bridge of a sunken ship. Atmosphere: underwater particles, bubbles, gloom. Lighting: Bioluminescent Blue + Deep Black. Camera: Low angle. Mood: tragic, scary.",ALB20_T01_SEED77788,2025-12-22 08:22:47.223+00
4,4,RUM RUNNER,ABYSSAL RAIDER,1,RUM RUNNER.wav,music/ABYSSAL RAIDER/RUM RUNNER.wav,"Drunken, wobbly, but fun. Glitch hop meets accordion.",drunk pirate music|funky shanty|glitch hop pirate|wobbly bass beat|party pirate|accordion trap|jack sparrow vibe|quirky pirate|stumbling beat|funny bass music|rum theme|viral funny dance|catchy melody|upbeat pirate|swaying beat,"110 BPM, G major, glitch hop shanty instrumental, vibe: drunken master; instruments: accordion, slide whistle, wobbly bass, hip hop drums; groove: swinging and off-kilter; arrangement: [Intro]->[Accordion]->[Wobble Drop]->[Solo]->[Outro]; production notes: loose quantization to feel 'drunk', pitch bending on the bass, playful and fun.",Fun|Glitch|Pirate,"Single-subject cinematic cutout: Robot Parrot, pose: sitting on a barrel of neon rum, drinking. Body details: colorful metal feathers, leaking oil. Environment: A tavern brawl (background blurred). Atmosphere: flying mugs, chaos. Lighting: Tavern Yellow + Neon Blue. Camera: Eye level. Mood: chaotic, fun.",ALB20_T04_SEED10101,2025-12-22 08:22:47.223+00
5,5,SIREN CALL,ABYSSAL RAIDER,1,SIREN CALL.wav,music/ABYSSAL RAIDER/SIREN CALL.wav,Beautiful female vocals (texture) leading into a destructive trap drop. The trap.,siren song trap|female vocal dubstep|beautiful deadly music|lure of the sea|hypnotic trap beat|mermaid aesthetic|scary mermaid music|enchanting beat|monster reveal|deceptive audio|atmospheric trap|viral siren trend|haunting vocals|deep sub|mysterious vibe,"130 BPM, F# minor, melodic trap instrumental, vibe: deadly beauty; instruments: ethereal female vocal melody (wordless), harp, distortion, heavy sub-bass; groove: hypnotic to aggressive; arrangement: [Intro]->[Siren]->[Lure]->[DESTRUCTIVE DROP]->[Outro]; production notes: huge contrast between the beautiful intro and the distorted, scary drop. The bait and switch.",Siren|Trap|Dark,"Single-subject cinematic cutout: Cyber-Siren (Mermaid), pose: reaching up from dark water, glowing lure on forehead. Body details: chrome scales, sharp teeth hidden behind smile. Environment: Dark open ocean at night. Atmosphere: bioluminescence, mist. Lighting: Lure Blue + Deep Black. Camera: POV looking down at water. Mood: seductive, terrifying.",ALB20_T05_SEED21212,2025-12-22 08:22:47.223+00
8,8,CYBER BLOOM,AERO DREAMS,2,CYBER BLOOM.wav,music/AERO DREAMS/CYBER BLOOM.wav,Organic sounds meets technology. Flutes and birdsong over synthetic drums.,nature dnb|organic house jungle|solarpunk music|techno nature|flute dnb|birdsong beat|peaceful fast music|garden aesthetic|futuristic nature|meditation dnb|grow vibe|eco futurism|viral solarpunk|natural bass|harmonious beat,"168 BPM, E major, organic jungle instrumental, vibe: solarpunk growth; instruments: pan flute, acoustic guitar loops, synthetic breakbeats, bird chirps (rhythmic), warm bass; groove: natural and skipping; arrangement: [Intro]->[Flute]->[Drop]->[Nature Break]->[Outro]; production notes: seamless blend of foley nature sounds and digital production, warm saturation, hopeful tone. Technology meeting nature.",Solarpunk|Organic|Vibe,"Single-subject cinematic cutout: Dryad Android, pose: holding a glowing digital flower. Body details: wood-grain metal skin, vines growing through circuits. Environment: A futuristic greenhouse. Atmosphere: pollen particles, humidity, sunlight. Lighting: Leaf Green + Soft Gold. Camera: Macro focus. Mood: peaceful, symbiotic.",ALB9_T05_SEED75849,2025-12-22 08:22:47.223+00
9,9,ERROR 2000,AERO DREAMS,2,ERROR 2000.wav,music/AERO DREAMS/ERROR 2000.wav,The darker side of Y2K. Dial-up noises and darker basslines.,dark y2k|dial up music|glitch jungle|scary internet music|webcore beat|dark dnb|virus download audio|cursed computer|techno horror|distorted jungle|creepy nostalgia|system crash dnb|viral dark web|intense breakcore|hard liquid,"175 BPM, A minor, dark breakcore instrumental, vibe: fatal error; instruments: dial-up modem screeches, distorted amen breaks, menacing synth drones, glitch artifacts; groove: chaotic and broken; arrangement: [Intro]->[Modem]->[Hard Drop]->[Glitchout]->[End]; production notes: aggressive chopping of breaks, heavy distortion, uneasy atmosphere, sudden stops. The blue screen of death.",Breakcore|Dark|Glitch,"Single-subject cinematic cutout: Corrupted Avatar (Undead), pose: staring blankly with static for a face. Body details: wearing baggy Y2K skater clothes, glitching out of existence. Environment: An infinite void of pop-up error windows. Atmosphere: static noise, pixelation. Lighting: Error Red + Void Black. Camera: Distorted. Mood: uneasy, cursed.",ALB9_T06_SEED86950,2025-12-22 08:22:47.223+00
10,10,ETHEREAL SPEED,AERO DREAMS,2,ETHEREAL SPEED.wav,music/AERO DREAMS/ETHEREAL SPEED.wav,Reverb-drenched vocals (chops) and rapid drums. Flying through clouds.,dreamy dnb|heavenly breakbeat|angelic vocals dnb|flying music|clouds aesthetic|atmospheric jungle|fast ambient|ethereal vibe|spiritual bass|uplifting dnb|sky high audio|cinematic liquid|viral dreamcore|beautiful fast music|trance dnb,"172 BPM, D major, atmospheric jungle instrumental, vibe: stratospheric flight; instruments: female vocal chops (drenched in reverb, unintelligible), sweeping pads, amen break, rolling sub; groove: flowing and endless; arrangement: [Intro]->[Atmosphere]->[Drop]->[Soar]->[Outro]; production notes: huge sense of space, 'wall of sound' pads, vocals acting as instruments, euphoric feeling. Flying music.",Ethereal|Atmospheric|Beautiful,"Single-subject cinematic cutout: Winged Cyborg Angel, pose: diving through clouds. Body details: wings made of solar panels and light. Environment: High altitude cumulus clouds. Atmosphere: sun rays, wind trails, lens flare. Lighting: Sun White + Sky Blue. Camera: Tracking shot. Mood: free, heavenly.",ALB9_T04_SEED64738,2025-12-22 08:22:47.223+00
11,11,LOADING SCREEN,AERO DREAMS,2,LOADING SCREEN.wav,music/AERO DREAMS/LOADING SCREEN.wav,Elevator music on steroids. Bossa nova chords with jungle drums.,elevator music dnb|bossa nova jungle|waiting room vibe|menu screen music|chill breakbeat|jazzy dnb|shop channel vibe|retro console music|relaxing fast music|study focus dnb|lounge jungle|aesthetic background|viral elevator trend|smooth beat|classy drum and bass,"165 BPM, C major, intelligent drum and bass instrumental, vibe: digital lounge; instruments: electric piano (jazz voicings), upright bass, complex snare brushwork, soft synth strings; groove: shuffling and jazzy; arrangement: [Intro]->[Piano Solo]->[Groove]->[Bass Solo]->[Outro]; production notes: warm and cozy, elevator music melody but with fast drums, nostalgic feel. Comfort audio.",Jazz|Chill|Jungle,"Single-subject cinematic cutout: Android Receptionist, pose: smiling politely, holding a clipboard. Body details: 60s flight attendant retro-futurism style. Environment: A stark white futuristic lobby with curved walls. Atmosphere: clean, sterile, bright. Lighting: Soft Box White + Mint Green. Camera: Symmetrical. Mood: helpful, uncanny.",ALB9_T02_SEED42516,2025-12-22 08:22:47.223+00
12,12,VIRTUAL BOY,AERO DREAMS,2,VIRTUAL BOY.wav,music/AERO DREAMS/VIRTUAL BOY.wav,Bit-crushed melodies meeting high-speed breaks. A tribute to handheld gaming.,chiptune dnb|gameboy jungle|8bit breakbeat|retro gaming beat|pixel art music|fast chiptune|nintendo vibe|happy gaming music|glitchy dnb|arcade racing music|nostalgia gaming|cute dnb|viral gaming nostalgia|funky chiptune|energetic pixel,"174 BPM, G major, chiptune drum and bass instrumental, vibe: handheld adventure; instruments: 8-bit lead square waves, rapid breakbeats, arpeggiated triangles, deep sine bass; groove: frantic and fun; arrangement: [Intro]->[Chip Melody]->[Drop]->[High Score]->[Outro]; production notes: fusion of lo-fi Gameboy sounds with hi-fi modern drums, bright and playful. Speed run music.",Chiptune|Gaming|Fun,"Single-subject cinematic cutout: Gamer Kid Robot, pose: intense gaming on a holographic handheld. Body details: translucent plastic casing (Gameboy style), oversized sneakers. Environment: A bedroom floating in a digital void. Atmosphere: floating pixel icons, glow. Lighting: Screen Blue + Neon Purple. Camera: Eye level. Mood: focused, nostalgic.",ALB9_T03_SEED53627,2025-12-22 08:22:47.223+00
14,14,BUNKER SWEET BUNKER,ATOMIC LOUNGE,3,BUNKER SWEET BUNKER.wav,music/ATOMIC LOUNGE/BUNKER SWEET BUNKER.wav,Cheery 50s sitcom energy with a trap twist. Irony overload.,happy 50s remix|sitcom trap beat|cheery apocalypse|retro trap|fallout boy vibe|ironic happy music|housewife aesthetic retro|bouncy oldies beat|vintage commercial remix|upbeat lofi|quirky retro|viral fallout meme|catchy piano|lighthearted beat|funky retro,"110 BPM, F major, electro-swing/trap hybrid instrumental, vibe: ironic happiness; instruments: honky-tonk piano, cheery whistling, trap 808s, clap beat; groove: bouncy shuffle; arrangement: [Intro]->[Whistle]->[Drop]->[Piano]->[Drop]; production notes: radio filter on the melody, clean modern drums, contrast between the 'old' happy sound and the heavy bass.",Happy|Trap|Vintage,"Single-subject cinematic cutout: 50s Housewife Android, pose: holding a tray of glowing green cookies, smiling perfectly. Body details: polka dot dress, metal skin. Environment: A pristine underground bunker kitchen. Atmosphere: sterile, artificial light. Lighting: Kitchen White + Neon Green (cookies). Camera: Eye level. Mood: uncanny, cheerful.",ALB18_T02_SEED46802,2025-12-22 08:22:47.223+00
15,15,RADIOACTIVE JAZZ,ATOMIC LOUNGE,3,RADIOACTIVE JAZZ.wav,music/ATOMIC LOUNGE/RADIOACTIVE JAZZ.wav,A muted trumpet solo playing over a Geiger counter beat.,jazz lofi hip hop|geiger counter beat|fallout jazz|wasteland vibe|muted trumpet beat|relaxing apocalypse|study music retro|vintage vibe|noir sci fi|chillhop jazz|atmospheric beat|viral cozy sound|smooth bass|night in the bunker|classy retro,"85 BPM, C minor, jazz-hop instrumental, vibe: nuclear cozy; instruments: muted trumpet solo, geiger counter clicks (as hi-hats), upright bass, brushed snare; groove: swinging and slow; arrangement: [Intro]->[Trumpet]->[Piano Solo]->[Trumpet]->[Outro]; production notes: heavy vinyl crackle, band-pass filters (radio effect), warm tube saturation. Relaxing but eerie.",Jazz|Lofi|Retro,"Single-subject cinematic cutout: Mutant Jazz Player, pose: playing a trumpet sitting on a pile of rubble. Body details: wearing a tuxedo, glowing green skin. Environment: A destroyed city skyline at sunset. Atmosphere: radioactive dust, golden hour light. Lighting: Sunset Orange + Rad Green. Camera: Silhouette. Mood: lonely, soulful.",ALB18_T01_SEED35791,2025-12-22 08:22:47.223+00
